vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Data Scientist,Unknown,Bevov,1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown,San Carlos,CA,28.0,4.0,1,0,178,0,0,0,0,0,0,90000.0
Data Engineer,Unknown,Parsons,10000+ Employees,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),Springfield,VA,77.0,3.9,1,0,400,0,1,1,0,1,0,90000.0
Data Analyist,Unknown,National Retail Transportation/Keystone Freight,1001 to 5000 Employees,Company - Private,Trucking,Transportation & Logistics,$100 to $500 million (USD),Lyndhurst,NJ,69.0,3.1,1,0,164,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Consolidated Nuclear Security,1001 to 5000 Employees,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,Less than $1 million (USD),Oak Ridge,TN,14.0,3.6,1,0,128,1,0,0,0,0,0,90000.0
Data Scientist,Senior,"Silverback Therapeutics, Inc.",1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown,Seattle,WA,28.0,3.1,1,0,132,0,0,0,0,0,0,90000.0
Data Engineer,Senior,"Silverback Therapeutics, Inc.",1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown,Seattle,WA,28.0,3.1,1,0,139,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,"Morris Group, Inc.",501 to 1000 Employees,Company - Private,Industrial Manufacturing,Manufacturing,Unknown,Windsor,CT,80.0,4.2,1,0,571,0,0,0,0,1,1,90000.0
Data Scientist,Senior,Mirimus Inc.,1 to 50 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),Brooklyn,NY,28.0,5.0,1,0,139,1,0,0,0,0,0,90000.0
Director,Senior,AltPep Corporation,Unknown,Unknown,Unknown,Unknown,Unknown,Seattle,WA,28.0,3.9,1,0,166,0,0,0,0,0,0,90000.0
Data Scientist,Senior,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Puerto Rico,PR,119.0,3.8,1,0,130,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Ezoic,51 to 200 Employees,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),Carlsbad,CA,11.0,4.8,1,0,136,0,0,0,0,0,1,90000.0
Data Scientist,Senior,Magid,Unknown,Unknown,Unknown,Unknown,Unknown,New York,NY,28.0,3.9,1,0,152,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Trileaf Corporation,51 to 200 Employees,Company - Private,Real Estate,Real Estate,$5 to $10 million (USD),Saint Louis,MO,28.0,4.2,1,0,199,0,0,0,0,0,0,90000.0
Data Scientist,Unknown,Novartis,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Cambridge,MA,25.0,4.2,1,0,440,0,0,0,0,0,0,90000.0
Data Scientist,Senior,ADARx Pharmaceuticals,Unknown,Unknown,Unknown,Unknown,Unknown,San Diego,CA,28.0,3.9,1,0,165,0,0,0,0,0,0,90000.0
Data Scientist,Senior,Bevov,1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown,San Carlos,CA,28.0,4.0,1,0,179,0,0,0,0,0,0,90000.0
Data Scientist,Senior,Guidehouse,5001 to 10000 Employees,Company - Private,Consulting,Business Services,Unknown,Washington,DC,3.0,3.8,1,0,137,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,CACI,10000+ Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),McLean,VA,59.0,3.8,1,0,81,0,0,0,0,0,0,107500.0
